Timestamp,Level,Component,Message
2026-03-08 13:21:56,INFO,Scheduler,Starting scheduled job for github-audit
2026-03-08 13:21:56,INFO,Connector,Starting run for github-audit with schema evident
2026-03-08 13:21:56,INFO,Auth,Authentication status: Success
2026-03-08 13:21:56,INFO,API,Fetching data for API: org_events
2026-03-08 13:21:56,INFO,HTTP,Executing GET https://api.github.com/orgs/dreamwork0/events
2026-03-08 13:21:57,INFO,API,Fetched 1 raw records for org_events
2026-03-08 13:21:57,INFO,Mapping,Successfully mapped 1 records to evident
2026-03-08 13:21:57,INFO,Storage,Stored 1 records
2026-03-08 13:21:57,INFO,API,Fetching data for API: repo_events
2026-03-08 13:21:57,INFO,HTTP,Executing GET https://api.github.com/repos/dreamwork0/demorepo/events
2026-03-08 13:21:58,INFO,API,Fetched 1 raw records for repo_events
2026-03-08 13:21:58,INFO,Mapping,Successfully mapped 1 records to evident
2026-03-08 13:21:58,INFO,Storage,Stored 1 records
2026-03-08 13:21:58,INFO,Connector,Run completed. Total records stored: 2
2026-03-08 13:21:58,INFO,Scheduler,Task completed successfully: 2 records generated
